所属微站,微站地址,微站地址_纬度,微站地址_经度,微站地址_编码状态
祝桥微站,祝桥镇周祝公路3275号,31.119397,121.748566,成功
上钢六村微站,昌里路332号,31.173435,121.491046,成功
东明路微站,东明路街道微型消防站（上南路4185号）,31.145069,121.509712,成功
半岛微站,康沈路1206号海富东上海四期门面,31.051316,121.198304,成功
上钢六村微站,昌里路332号,31.173435,121.491046,成功
懿德微站,和炯路601弄8号（懿德社区微站）,31.127987,121.506991,成功
临沂六村微站,临沂路181弄旁（临沂路大门门卫旁）,31.193273,121.512949,成功
六灶鹿城微站,川沙六灶鹿城站(周祝公路2378号),31.13114,121.690395,成功
下沙微站,下沙社区中心（沪南公路5307号）,31.094757,121.812809,成功
名门世家微站,名门世家微型消防站（崮山路266号）,31.079811,121.406307,成功
韵涛路微站,韵涛路36弄98号,31.10345,121.587784,成功
长丰社区微站,长丰社区微站（两耕村33号楼旁）,31.094757,121.812809,成功
合庆专职队,合庆专职队（环庆中路505号）,31.232094,121.722841,成功
张杨北路微站,张杨北路512弄31号-1,31.265018,121.587727,成功
南门微站,惠南镇城基路153号,31.046036,121.750744,成功
培花微站,培花社区微站（芳草路231号）,31.624686,121.400059,成功
陆家嘴微站,崂山片区微型消防站：乳山路86号,31.233711,121.518235,成功
海曲雅苑微站,惠南镇拱北路398号7号门（海曲雅苑）,31.057775,121.771459,成功
合庆专职队,合庆专职队（环庆中路505号）,31.232094,121.722841,成功
玉兰香苑微站,玉兰香苑微站（益江路135弄）,31.199368,121.63311,成功
三林专职队,林恒路三新路懿德村康家队128号（三林镇专职队）,31.12028,121.519019,成功
黄楼微站,川沙黄楼居委站(栏学路398号),31.170307,121.667487,成功
航南微站,航南社区（航兴路48号）,31.023634,121.596821,成功
临沂六村微站,临沂路181弄旁（临沂路大门门卫旁）,31.193273,121.512949,成功
宏南微站,宏南微型消防站（周秀路101号宏南市政院内）,31.193549,121.31963,成功
徐庙村微站,惠南镇芦公路38弄42号徐庙村委旁,31.030308,121.71469,成功
江镇微站,祝桥镇陈胡村王家宅58号,31.168751,121.664195,成功
航头专职队,航启路航帆路交叉口,31.028639,121.615646,成功
康花微站,康杉路518号（康桥康花站 ）,31.148577,121.561232,成功
三林专职队,林恒路三新路懿德村康家队128号（三林镇专职队）,31.12028,121.519019,成功
新港微站,新府路119号,30.981782,121.874562,成功
康花微站,康杉路518号（康桥康花站 ）,31.148577,121.561232,成功
三林专职队,林恒路三新路懿德村康家队128号（三林镇专职队）,31.12028,121.519019,成功
潍坊西站微站,潍坊西站微型消防站（浦城路580弄1号103、104室）,31.240675,121.655234,成功
航南微站,航南社区（航兴路48号）,31.023634,121.596821,成功
孙建微站,张江孙建路站(孙桥路306弄孙桥花苑9栋),31.181411,121.634781,成功
苗圃微站,苗圃路微型消防站（苗圃路253号2楼）,31.193549,121.31963,成功
陆家嘴微站,崂山片区微型消防站：乳山路86号,31.233711,121.518235,成功
沈西村微站,沈西村微型消防站（沈双路梅林路交叉口南20米）,31.090126,121.565602,成功
下沙微站,下沙社区中心（沪南公路5307号）,31.094757,121.812809,成功
城厢南市微站,川沙城厢南市站(乔家弄28号),31.187479,121.693695,成功
凌桥微站,上海浦东高桥镇康悦路211号,31.360561,121.533344,成功
书院微站,老芦公路1360号,30.927578,121.866619,成功
新港微站,新府路119号,30.981782,121.874562,成功
惠园微站,惠南镇迎熏路215弄27号惠园居委,31.037347,121.737041,成功
新港微站,新府路119号,30.981782,121.874562,成功
世博微站,东书房路629弄12号（世博社区微站）,31.162748,121.537962,成功
潍坊西站微站,潍坊西站微型消防站（浦城路580弄1号103、104室）,31.240675,121.655234,成功
航南微站,航南社区（航兴路48号）,31.023634,121.596821,成功
财神庙微站,财神庙微站（景雅路141弄7号）,31.320443,121.423395,成功
橫沔微站,苗桥路938号（康桥横沔站）,31.141287,121.622679,成功
夏栎路微站,南汇新城镇雪绒花路与夏栎路交叉口155号,30.910646,121.920296,成功
航南微站,航南社区（航兴路48号）,31.023634,121.596821,成功
彭镇微站,泥城镇彭新路115号,30.906628,121.794399,成功
牛肚村微站,老港镇拱级东路1188号,31.116564,121.755442,成功
芦潮港微站,南汇新城镇杭湾路247号,30.857905,121.849568,成功
金钻路微站,金钻路855号,31.280928,121.677616,成功
雪野二村微站,昌里东路71弄，昌里花园小区门口,31.176196,121.505538,成功
沈庄微站,沈庄村村委会,31.07909,121.582409,成功
前滩微站,晴阁路700弄14号（前滩微站）,31.138441,121.489132,成功
新场专职队,新场镇石笋街121号,31.019993,121.645513,成功
新场专职队,新场镇石笋街121号,31.019993,121.645513,成功
惠园微站,惠南镇迎熏路215弄27号惠园居委,31.037347,121.737041,成功
东陆路微站,东陆路1173号,31.272309,121.596489,成功
祝桥微站,祝桥镇周祝公路3275号,31.119397,121.748566,成功
培花微站,培花社区微站（芳草路231号）,31.624686,121.400059,成功
韵涛路微站,韵涛路36弄98号,31.10345,121.587784,成功
东明路微站,东明路街道微型消防站（上南路4185号）,31.145069,121.509712,成功
牡丹微站,牡丹微站(牡丹路165号),30.879399,121.203528,成功
陆家嘴微站,崂山片区微型消防站：乳山路86号,31.233711,121.518235,成功
孙桥微站,张江孙桥站(沔北路555号),31.177728,121.632933,成功
三林专职队,林恒路三新路懿德村康家队128号（三林镇专职队）,31.12028,121.519019,成功
孙桥微站,张江孙桥站(沔北路555号),31.177728,121.632933,成功
东陆路微站,东陆路1173号,31.272309,121.596489,成功
韵涛路微站,韵涛路36弄98号,31.10345,121.587784,成功
枣庄微站,枣庄路691号南侧,31.25124,121.57961,成功
孙建微站,张江孙建路站(孙桥路306弄孙桥花苑9栋),31.181411,121.634781,成功
杨思微站,杨新路60号（东育微站）,31.16415,121.49521,成功
康花微站,康杉路518号（康桥康花站 ）,31.148577,121.561232,成功
枣庄微站,枣庄路691号南侧,31.25124,121.57961,成功
明祥苑微站,宣桥镇闵家浜路80弄明祥苑居委,31.074859,121.721851,成功
东陆路微站,东陆路1173号,31.272309,121.596489,成功
宏南微站,宏南微型消防站（周秀路101号宏南市政院内）,31.193549,121.31963,成功
团结村微站,惠南镇马姚路2019号,31.017482,121.779445,成功
城厢南市微站,川沙城厢南市站(乔家弄28号),31.187479,121.693695,成功
世博微站,东书房路629弄12号（世博社区微站）,31.162748,121.537962,成功
唐兴路微站,唐镇联勤联动一站(唐兴路990号),31.167291,121.552017,成功
民区路微站,民区路9号,31.27273,121.650191,成功
长丰社区微站,长丰社区微站（两耕村33号楼旁）,31.094757,121.812809,成功
龚丰路微站,龚丰路85号,31.256302,121.683102,成功
前滩微站,晴阁路700弄14号（前滩微站）,31.138441,121.489132,成功
宏南微站,宏南微型消防站（周秀路101号宏南市政院内）,31.193549,121.31963,成功
方竹路微站,南汇新城镇方竹路680弄8栋6单元101号,30.895827,121.900353,成功
城厢南市微站,川沙城厢南市站(乔家弄28号),31.187479,121.693695,成功
世博微站,东书房路629弄12号（世博社区微站）,31.162748,121.537962,成功
宣桥专职队,宣桥镇沪南公路8619号,31.036176,121.690133,成功
杨东微站,杨思路1121弄84号（杨东社区微站）,31.164901,121.505787,成功
孙建微站,张江孙建路站(孙桥路306弄孙桥花苑9栋),31.181411,121.634781,成功
新场专职队,新场镇石笋街121号,31.019993,121.645513,成功
上川路微站,浦东新区上川路1398号,31.277663,121.661862,成功
竞赛村微站,龙跃路106号,31.302197,121.650632,成功
城厢南市微站,川沙城厢南市站(乔家弄28号),31.187479,121.693695,成功
上丰路微站,唐镇联勤联动二站(上丰路1873号),31.167291,121.552017,成功
凌桥微站,上海浦东高桥镇康悦路211号,31.360561,121.533344,成功
沈庄微站,沈庄村村委会,31.07909,121.582409,成功
上丰路微站,唐镇联勤联动二站(上丰路1873号),31.167291,121.552017,成功
