立案时间,火警地址,火警类型,所属大队,所属街道,实/虚警,所属队站,备注内容,微站,微站调派时间,微站出动时间,微站到场时间,微站出动用时,中队到场时间,微站出水情况,微站处置,建筑物内/外,中队出动时间
4/23/2025 0:26,浦东新区 陆家嘴街道 即墨路99号(上船大楼)3号楼1楼大厅（误报）（到场未处置）,居民,陆家嘴大队（一大队）,陆家嘴街道,虚警,铜山站,误报,陆家嘴微站,4/23/2025 0:27,4/23/2025 0:28,4/23/2025 0:34,85.0,4/23/2025 0:35,否,了解情况,内,4/23/2025 0:27
4/23/2025 0:16,浦东新区 陆家嘴街道 东园四村420号旁边（居民处置）（到场未处置）,杂物,陆家嘴大队（一大队）,陆家嘴街道,实警,梅园站,室外烧祭祀,潍坊西站微站,4/23/2025 0:17,4/23/2025 0:19,4/23/2025 0:23,119.0,4/23/2025 0:25,否,了解情况,外,4/23/2025 0:16
4/22/2025 22:54,浦东新区 花木街道 芳华路411弄(芳华苑)17号1楼楼梯间（居民处置）（到场处置）,居民,陆家嘴大队（一大队）,花木街道,实警,塘东站,烧1楼楼道内堆放的纸板箱,培花微站,4/22/2025 22:56,4/22/2025 22:57,4/22/2025 23:01,70.0,4/22/2025 23:02,否,了解情况,内,4/22/2025 22:56
4/22/2025 21:57,浦东新区 金杨新村街道 灵山路1671弄（香山新村西北街坊）67号楼外（经核实无需消防处置）（到场未处置）,电线,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,室外烧电线,灵山微站,4/22/2025 21:58,4/22/2025 21:59,4/22/2025 22:02,38.0,4/22/2025 22:10,否,了解情况,外,4/22/2025 21:58
4/22/2025 18:42,浦东新区 南汇新城镇 宁祥路 靠近 同顺大道 东面30米（消防处置）（到场处置）,杂物,临港大队（九大队）,南汇新城镇,实警,芦潮港站,路边烧杂草,方竹路微站,4/22/2025 18:43,4/22/2025 18:45,4/22/2025 18:52,155.0,4/22/2025 18:52,否,了解情况,外,4/22/2025 18:42
4/22/2025 17:53,浦东新区 洋泾街道 海防新村118号602室（误报）（到场未处置）,居民,陆家嘴大队（一大队）,洋泾街道,虚警,铜山站,误报,苗圃微站,4/22/2025 17:54,4/22/2025 17:55,4/22/2025 18:00,80.0,4/22/2025 18:00,否,了解情况,内,4/22/2025 17:54
4/22/2025 17:28,浦东新区 周浦镇 上南路6733弄(双秀花园西园A区)3号墙外（燃烧物质燃尽）（到场未处置）,电线,三林大队（六大队）,康桥镇,实警,周浦站,室外电表箱着火,半岛微站,4/22/2025 17:29,4/22/2025 17:31,4/22/2025 17:35,91.0,4/22/2025 17:32,否,了解情况,外,4/22/2025 17:29
4/22/2025 16:56,浦东新区 高东镇 新龙路69弄(杨园新苑)21号602室（其他社会力量处置）（到场未处置）,居民,保税大队（四大队）,高东镇,实警,保税站,烧锅子,欣连苑微站,4/22/2025 16:56,4/22/2025 16:57,4/22/2025 17:03,50.0,4/22/2025 17:09,否,了解情况,内,4/22/2025 16:56
4/22/2025 14:07,浦东新区 三林镇 杨南路 靠近 灵岩南路东侧50米左右（祭扫）（居民处置）（到场未处置）,杂物,三林大队（六大队）,三林镇,实警,周渡站,室外烧祭祀,前滩微站,4/22/2025 14:09,4/22/2025 14:10,4/22/2025 14:16,55.0,4/22/2025 14:16,否,警戒,外,4/22/2025 14:08
4/22/2025 10:32,浦东新区 北蔡镇 御桥路1980号 锐思智能AI成长中心（误报）（到场未处置）,单位,三林大队（六大队）,北蔡镇,虚警,永泰站,误报,东明路微站,4/22/2025 10:33,4/22/2025 10:34,4/22/2025 10:40,64.0,4/22/2025 10:41,否,了解情况,内,4/22/2025 10:33
