火警类型,纬度,经度,聚类簇
杂物,31.115754,121.570452,2
居民,31.163725,121.493931,2
单位,31.099491,121.765477,1
车辆,31.293738,121.618952,0
杂物,30.901891,121.803635,3
居民,31.177877,121.624487,0
居民,31.164035,121.531897,2
杂物,31.162031,121.485555,2
居民,31.095692,121.585085,2
居民,31.098028,121.587451,2
居民,31.123988,121.510091,2
杂物,31.261266,121.665504,0
车辆,31.283498,121.616122,0
杂物,31.165477,121.629575,0
杂物,31.142042,121.613746,2
杂物,31.142913,121.612464,2
杂物,31.160969,121.660641,0
车辆（电瓶车）,31.182086,121.51648,2
杂物,31.275429,121.670686,0
单位,31.342061,121.579922,0
居民,31.081564,121.569854,2
杂物,31.125417,121.739436,1
居民,31.218283,121.524164,2
车辆,31.139788,121.752022,1
居民,30.911409,121.804755,3
杂物,31.247353,121.699145,0
杂物,31.110264,121.705687,1
杂物,31.078859,121.646794,1
杂物,31.118518,121.750025,1
杂物,30.918218,121.850848,3
杂物,31.207135,121.693661,0
居民,31.135956,121.700273,1
杂物,31.11397,121.576683,2
杂物,30.874434,121.961537,3
居民,31.242911,121.543628,2
居民,31.241762,121.550338,0
居民,31.074859,121.721851,1
电线,30.889423,121.963257,3
杂物,31.207135,121.693661,0
杂物,31.207135,121.693661,0
杂物,31.179926,121.714951,0
杂物,31.207135,121.693661,0
杂物,31.067618,121.75199,1
居民,31.041389,121.585039,2
杂物,31.199633,121.509586,2
电线,31.214008,121.725286,0
杂物,31.09368,121.606395,2
居民,31.348461,121.562661,0
居民,31.078396,121.60284,2
杂物,31.135568,121.608188,2
居民,31.174456,121.499236,2
车辆,31.118087,121.518949,2
杂物,31.121387,121.574862,2
居民,31.04577,121.719325,1
杂物,31.029903,121.57926,2
杂物,31.207135,121.693661,0
居民,31.028872,121.648516,1
杂物,31.040254,121.83561,1
杂物,31.019177,121.589282,2
杂物,31.026261,121.662352,1
杂物,30.986038,121.738706,1
居民,31.127559,121.762963,1
杂物,31.095794,121.589375,2
杂物,31.046742,121.764046,1
杂物,31.122365,121.572541,2
居民,31.054452,121.743952,1
杂物,31.081564,121.569854,2
杂物,31.022623,121.775526,1
杂物,31.207135,121.693661,0
杂物,31.121263,121.600121,2
杂物,31.028978,121.596096,2
杂物,31.207135,121.693661,0
单位,30.869252,121.853823,3
杂物,31.167255,121.735948,1
杂物,31.065631,121.783585,1
杂物,31.207135,121.693661,0
杂物,31.144572,121.691233,1
杂物,31.081564,121.569854,2
单位,31.137331,121.572549,2
杂物,31.021945,121.700977,1
杂物,30.873274,121.858865,3
杂物,31.228571,121.715371,0
居民,31.207135,121.693661,0
杂物,31.167664,121.606145,2
杂物,31.116754,121.548574,2
居民,31.196975,121.751978,0
杂物,31.108682,121.648668,1
杂物,31.235303,121.550447,2
杂物,31.282267,121.675858,0
杂物,30.88128,121.843079,3
